fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220425 072509	0	0	0	1	auto	depthwise	256	0	1	0.010331065921622	0.99989371184006	9	4	0.0292692074011846	1001	11825000	100
20220425 075154	0	0	0	1	auto	depthwise	256	0	1	0.0103685924819092	0.517550623851511	10	23	0.0129374134223132	206	13535000	101
20220425 085223	0	0	0	1	auto	depthwise	256	0	1	0.0101492043105894	0.921665473677984	10	21	0.0129348183862423	174	13286000	102
20220425 085649	0	0	0	1	auto	depthwise	256	0	1	0.235600092426503	0.635912943955459	10	2	0.0281559356541839	153	11278000	103
20220425 095440	0	0	0	1	auto	depthwise	256	0	1	0.0101934796754437	0.54788137165627	10	30	0.0134280727867596	253	13566000	104
20220425 095612	0	0	0	1	auto	depthwise	256	0	1	0.229938210283934	0.303741378888349	8	2	0.00939179626832687	45	12018000	105
20220425 104717	0	0	0	1	auto	depthwise	256	0	1	0.0115094707929713	0.525952798338116	10	30	0.0147590625306704	224	13496000	106
20220425 104834	0	0	0	1	auto	depthwise	256	0	1	0.182832598553757	0.212813845849597	0	2	0.0120757651777947	135	12486000	107
20220425 112100	0	0	0	1	auto	depthwise	256	0	1	0.0105021506265064	0.75484764585568	10	15	0.0128276177838389	211	13476000	108
20220425 115033	0	0	0	1	auto	depthwise	256	0	1	0.0109133405741564	0.574655367226157	10	12	0.0136373341269051	170	13623000	109
20220425 120257	0	0	0	1	auto	depthwise	256	0	1	0.104010694696947	0.997850741919319	10	12	0.0136236829648736	31	12856000	110
20220425 123429	0	0	0	1	auto	depthwise	256	0	1	0.033710212321896	0.224272847322722	10	26	0.0141929137024932	171	12946000	111
20220425 124550	0	0	0	1	auto	depthwise	256	0	1	0.039366796639565	0.697202511397159	10	13	0.0135195975447287	102	12935000	112
20220425 130545	0	0	0	1	auto	depthwise	256	0	1	0.0104565888951998	0.481454202297027	10	11	0.0137547246310544	216	13628000	113
20220425 133540	0	0	0	1	auto	depthwise	256	0	1	0.010072495078996	0.43940844952244	10	28	0.0134760370263924	345	13569000	114
20220425 134818	0	0	0	1	auto	depthwise	256	0	1	0.0100683064977314	0.545543993832567	8	4	0.0147016851365039	329	13563000	115
20220425 135101	0	0	0	1	auto	depthwise	256	0	1	0.0964237594695752	0.479523312362116	7	4	0.0132904547235128	101	13386000	116
20220425 142300	0	0	0	1	auto	depthwise	256	0	1	0.0102637174496225	0.206337173391815	0	30	0.0121821319774222	158	1317000	117
20220425 142439	0	0	0	1	auto	depthwise	256	0	1	0.214557149535495	0.409874199730423	2	2	0.0117163003605766	161	12795000	118
20220425 143207	0	0	0	1	auto	depthwise	256	0	1	0.03084217868754	0.382738135568401	10	12	0.0129190435344327	101	13295000	119
20220425 150143	0	0	0	1	auto	depthwise	256	0	1	0.0100666095427033	0.711876493580698	6	5	0.0134642305694366	505	13344000	120
