fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 231001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	0.130217432189702	0.891156323861095	5667	538	0.0158417066572668	12934000	76
20220423 231308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	474	TRUE	0.0100199502016697	0.514335187195022	4065	197	0.0165168942583171	14006000	77
20220423 231328	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.094904234916581	0.988134972246586	6319	46	0.0161085987484047	13213000	78
20220423 231731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1053	TRUE	0.0100165055995919	0.21681694378364	4138	747	0.0164003778992001	13472000	79
20220423 231747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.299920004371986	0.537510603335789	7994	956	0.0204760981337103	12511000	80
20220423 231800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.282049733893805	0.20026369488356	8000	199	0.0156392262961717	12358000	81
20220423 231819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.110897564847295	0.651059731196835	6619	16	0.0169971970364363	12791000	82
20220423 231836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.152388750884005	0.201238962167639	4435	540	0.0161608403030252	13106000	83
20220423 232106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	498	TRUE	0.0101455314699423	0.647283679467358	3920	806	0.0162721788804325	13594000	84
20220423 232230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	357	TRUE	0.0103208209913279	0.999880946687704	1981	17	0.0116813457330818	12976000	85
20220423 232426	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	376	TRUE	0.0109402767875267	0.999641131053714	4469	1024	0.0278940934187995	11841000	86
20220423 234113	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.015891146815506	0.938222024677395	78	1024	0.01278176001948	10255000	87
20220423 234309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	562	TRUE	0.0101013377603562	0.997773528347959	7998	152	0.0152360060446402	13072000	88
20220423 234324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.298832978063713	0.997876618156301	4556	1024	0.017239384614759	12618000	89
20220423 234652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1082	TRUE	0.010429429448238	0.2010085252259	6304	468	0.0174020832757934	13421000	90
20220423 234732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0723786910156441	0.200055889631747	7999	990	0.0143095628526624	12856000	91
20220423 234807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.0489461474995637	0.999829873315511	4658	226	0.0137944167923604	12956000	92
